i,hex_value,setPk_max,verify_value
36,fffffffff0000000000000000000000000000000000000000000000000000000,44050,126109
37,fffffffff8000000000000000000000000000000000000000000000000000000,44050,126109
38,fffffffffc000000000000000000000000000000000000000000000000000000,44050,126085
39,fffffffffe000000000000000000000000000000000000000000000000000000,44050,126109
40,ffffffffff000000000000000000000000000000000000000000000000000000,44050,126097
41,ffffffffff800000000000000000000000000000000000000000000000000000,44050,126109
42,ffffffffffc00000000000000000000000000000000000000000000000000000,44050,126097
43,ffffffffffe00000000000000000000000000000000000000000000000000000,44050,126085
44,fffffffffff00000000000000000000000000000000000000000000000000000,44050,126109
45,fffffffffff80000000000000000000000000000000000000000000000000000,44050,126085
46,fffffffffffc0000000000000000000000000000000000000000000000000000,44050,126109
47,fffffffffffe0000000000000000000000000000000000000000000000000000,44050,126097
48,ffffffffffff0000000000000000000000000000000000000000000000000000,44050,126061
49,ffffffffffff8000000000000000000000000000000000000000000000000000,44050,126097
50,ffffffffffffc000000000000000000000000000000000000000000000000000,44050,126085
51,ffffffffffffe000000000000000000000000000000000000000000000000000,44050,126109
52,fffffffffffff000000000000000000000000000000000000000000000000000,44050,126109
53,fffffffffffff800000000000000000000000000000000000000000000000000,44050,126109
54,fffffffffffffc00000000000000000000000000000000000000000000000000,44050,126109
55,fffffffffffffe00000000000000000000000000000000000000000000000000,44050,126109
56,ffffffffffffff00000000000000000000000000000000000000000000000000,44050,126109
57,ffffffffffffff80000000000000000000000000000000000000000000000000,44050,126109
58,ffffffffffffffc0000000000000000000000000000000000000000000000000,44050,126109
59,ffffffffffffffe0000000000000000000000000000000000000000000000000,44050,126085
60,fffffffffffffff0000000000000000000000000000000000000000000000000,44050,126109
61,fffffffffffffff8000000000000000000000000000000000000000000000000,44050,126097
62,fffffffffffffffc000000000000000000000000000000000000000000000000,44050,126109
63,fffffffffffffffe000000000000000000000000000000000000000000000000,44050,126097
64,ffffffffffffffff000000000000000000000000000000000000000000000000,44050,126097
65,ffffffffffffffff800000000000000000000000000000000000000000000000,44050,126097
66,ffffffffffffffffc00000000000000000000000000000000000000000000000,44050,126097
67,ffffffffffffffffe00000000000000000000000000000000000000000000000,44050,126061
68,fffffffffffffffff00000000000000000000000000000000000000000000000,44050,126097
69,fffffffffffffffff80000000000000000000000000000000000000000000000,44050,126109
70,fffffffffffffffffc0000000000000000000000000000000000000000000000,44050,126109
71,fffffffffffffffffe0000000000000000000000000000000000000000000000,44050,126085
72,ffffffffffffffffff0000000000000000000000000000000000000000000000,44050,126109
73,ffffffffffffffffff8000000000000000000000000000000000000000000000,44050,126097
74,ffffffffffffffffffc000000000000000000000000000000000000000000000,44050,126109
75,ffffffffffffffffffe000000000000000000000000000000000000000000000,44050,126109
76,fffffffffffffffffff000000000000000000000000000000000000000000000,44050,126097
77,fffffffffffffffffff800000000000000000000000000000000000000000000,44050,126109
78,fffffffffffffffffffc00000000000000000000000000000000000000000000,44050,126109
79,fffffffffffffffffffe00000000000000000000000000000000000000000000,44050,126097
80,ffffffffffffffffffff00000000000000000000000000000000000000000000,44050,126097
81,ffffffffffffffffffff80000000000000000000000000000000000000000000,44050,126109
82,ffffffffffffffffffffc0000000000000000000000000000000000000000000,44050,126097
83,ffffffffffffffffffffe0000000000000000000000000000000000000000000,44050,126085
84,fffffffffffffffffffff0000000000000000000000000000000000000000000,44050,126085
85,fffffffffffffffffffff8000000000000000000000000000000000000000000,44050,126097
86,fffffffffffffffffffffc000000000000000000000000000000000000000000,44050,126109
87,fffffffffffffffffffffe000000000000000000000000000000000000000000,44050,126097
88,ffffffffffffffffffffff000000000000000000000000000000000000000000,44050,126085
89,ffffffffffffffffffffff800000000000000000000000000000000000000000,44050,126109
90,ffffffffffffffffffffffc00000000000000000000000000000000000000000,44050,126073
91,ffffffffffffffffffffffe00000000000000000000000000000000000000000,44050,126109
92,fffffffffffffffffffffff00000000000000000000000000000000000000000,44050,126109
93,fffffffffffffffffffffff80000000000000000000000000000000000000000,44050,126109
94,fffffffffffffffffffffffc0000000000000000000000000000000000000000,44050,126097
95,fffffffffffffffffffffffe0000000000000000000000000000000000000000,44050,126097
96,ffffffffffffffffffffffff0000000000000000000000000000000000000000,44050,126073
97,ffffffffffffffffffffffff8000000000000000000000000000000000000000,44050,126109
98,ffffffffffffffffffffffffc000000000000000000000000000000000000000,44050,126097
99,ffffffffffffffffffffffffe000000000000000000000000000000000000000,44050,126097
100,fffffffffffffffffffffffff000000000000000000000000000000000000000,44050,126061
101,fffffffffffffffffffffffff800000000000000000000000000000000000000,44050,126097
102,fffffffffffffffffffffffffc00000000000000000000000000000000000000,44050,126109
103,fffffffffffffffffffffffffe00000000000000000000000000000000000000,44050,126109
104,ffffffffffffffffffffffffff00000000000000000000000000000000000000,44050,126097
105,ffffffffffffffffffffffffff80000000000000000000000000000000000000,44050,126109
106,ffffffffffffffffffffffffffc0000000000000000000000000000000000000,44050,126109
107,ffffffffffffffffffffffffffe0000000000000000000000000000000000000,44050,126097
108,fffffffffffffffffffffffffff0000000000000000000000000000000000000,44050,126097
109,fffffffffffffffffffffffffff8000000000000000000000000000000000000,44050,126109
110,fffffffffffffffffffffffffffc000000000000000000000000000000000000,44050,126109
111,fffffffffffffffffffffffffffe000000000000000000000000000000000000,44050,126109
112,ffffffffffffffffffffffffffff000000000000000000000000000000000000,44050,126097
113,ffffffffffffffffffffffffffff800000000000000000000000000000000000,44050,126097
114,ffffffffffffffffffffffffffffc00000000000000000000000000000000000,44050,126109
