i,hex_value,set_pk_max,verify_value
37,fffffffff8000000000000000000000000000000000000000000000000000000,6528621,4191126
38,fffffffffc000000000000000000000000000000000000000000000000000000,6528621,4191126
39,fffffffffe000000000000000000000000000000000000000000000000000000,6528621,4191126
40,ffffffffff000000000000000000000000000000000000000000000000000000,6528621,4191126
41,ffffffffff800000000000000000000000000000000000000000000000000000,6528621,4191126
42,ffffffffffc00000000000000000000000000000000000000000000000000000,6528621,4191126
43,ffffffffffe00000000000000000000000000000000000000000000000000000,6528621,4191126
44,fffffffffff00000000000000000000000000000000000000000000000000000,6528621,4007838
45,fffffffffff80000000000000000000000000000000000000000000000000000,6528621,4007838
46,fffffffffffc0000000000000000000000000000000000000000000000000000,6528621,4007838
47,fffffffffffe0000000000000000000000000000000000000000000000000000,6528621,4007838
48,ffffffffffff0000000000000000000000000000000000000000000000000000,6528621,4007838
49,ffffffffffff8000000000000000000000000000000000000000000000000000,6528621,4007838
50,ffffffffffffc000000000000000000000000000000000000000000000000000,6528621,4007838
51,ffffffffffffe000000000000000000000000000000000000000000000000000,6528621,4007838
52,fffffffffffff000000000000000000000000000000000000000000000000000,6528621,3826854
53,fffffffffffff800000000000000000000000000000000000000000000000000,6528621,3826854
54,fffffffffffffc00000000000000000000000000000000000000000000000000,6528621,3826854
55,fffffffffffffe00000000000000000000000000000000000000000000000000,6528621,3826854
56,ffffffffffffff00000000000000000000000000000000000000000000000000,6528621,3826854
57,ffffffffffffff80000000000000000000000000000000000000000000000000,6528621,3826854
58,ffffffffffffffc0000000000000000000000000000000000000000000000000,6528621,3826854
59,ffffffffffffffe0000000000000000000000000000000000000000000000000,6528621,3826854
60,fffffffffffffff0000000000000000000000000000000000000000000000000,6528621,3648174
61,fffffffffffffff8000000000000000000000000000000000000000000000000,6528621,3648174
62,fffffffffffffffc000000000000000000000000000000000000000000000000,6528621,3648174
63,fffffffffffffffe000000000000000000000000000000000000000000000000,6528621,3648174
64,ffffffffffffffff000000000000000000000000000000000000000000000000,6528621,3648174
65,ffffffffffffffff800000000000000000000000000000000000000000000000,6528621,3648174
66,ffffffffffffffffc00000000000000000000000000000000000000000000000,6528621,3648174
67,ffffffffffffffffe00000000000000000000000000000000000000000000000,6528621,3648174
68,fffffffffffffffff00000000000000000000000000000000000000000000000,6528621,3471798
69,fffffffffffffffff80000000000000000000000000000000000000000000000,6528621,3471798
70,fffffffffffffffffc0000000000000000000000000000000000000000000000,6528621,3471798
71,fffffffffffffffffe0000000000000000000000000000000000000000000000,6528621,3471798
72,ffffffffffffffffff0000000000000000000000000000000000000000000000,6528621,3471798
