h,d,a,k,setPk_max,naysayerFors,naysayerForsHash,WotsHashNaysayer,wotsNaysayer,xmssNaysayer,setSign
8,5,16,15,66999,820218,1344631,1427807,1234392,691559,66708
8,5,17,14,66999,827948,1332594,1426267,1237266,691054,66708
8,5,18,13,66999,834870,1320213,1427076,1233397,689926,66708
8,5,20,12,66999,852557,1310271,1428079,1234412,691591,66708
8,5,24,10,66999,881641,1275717,1404965,1227240,688414,66708
8,5,26,9,66999,896338,1263620,1402842,1220657,686809,66708
8,5,30,8,not found,not found,not found,not found,not found,not found,not found
8,5,34,7,not found,not found,not found,not found,not found,not found,not found
8,5,39,6,not found,not found,not found,not found,not found,not found,not found
8,5,40,6,not found,not found,not found,not found,not found,not found,not found
8,5,47,5,not found,not found,not found,not found,not found,not found,not found
8,5,48,5,not found,not found,not found,not found,not found,not found,not found
8,5,59,4,not found,not found,not found,not found,not found,not found,not found
8,5,60,4,not found,not found,not found,not found,not found,not found,not found
8,6,4,59,66999,723415,1856571,1426898,1229030,690514,66708
8,6,4,60,66999,724496,1869298,1427586,1229774,691583,66708
8,6,5,47,66999,731717,1714761,1427069,1233398,690240,66708
8,6,5,48,66999,733116,1728175,1426944,1233473,691615,66708
8,6,6,39,66999,739848,1621326,1425640,1232153,689926,66708
8,6,6,40,66999,741493,1634555,1428059,1225758,691547,66708
8,6,7,34,66999,749294,1564300,1427198,1238165,691034,66708
8,6,8,30,66987,755613,1517764,1427739,1225738,691579,66708
8,6,9,26,66987,762269,1469833,1425351,1236154,689942,66708
8,6,10,24,66999,772019,1448715,1428011,1234400,691547,66708
8,6,12,20,66999,788003,1402384,1428008,1226047,691559,66708
8,6,13,18,66999,794733,1377527,1425501,1228093,689882,66708
8,6,14,17,66999,803968,1367398,1428068,1225831,691050,66708
8,6,15,16,66999,812437,1356120,1426932,1229104,691547,66708
8,6,16,15,66999,820218,1344631,1427807,1234392,691559,66708
8,6,17,14,66999,827948,1332594,1426267,1237266,691054,66708
8,6,18,13,66987,834870,1320213,1427076,1233397,689926,66708
8,6,20,12,66999,852557,1310271,1428079,1234412,691591,66696
8,6,24,10,66999,884806,1287274,1428208,1230388,691555,66708
8,6,26,9,66999,899468,1274023,1425821,1223768,689914,66708
8,6,30,8,not found,not found,not found,not found,not found,not found,not found
8,6,34,7,not found,not found,not found,not found,not found,not found,not found
8,6,39,6,not found,not found,not found,not found,not found,not found,not found
8,6,40,6,not found,not found,not found,not found,not found,not found,not found
8,6,47,5,not found,not found,not found,not found,not found,not found,not found
8,6,48,5,not found,not found,not found,not found,not found,not found,not found
8,6,59,4,not found,not found,not found,not found,not found,not found,not found
8,6,60,4,not found,not found,not found,not found,not found,not found,not found
8,7,4,59,66975,723415,1856571,1426898,1229030,690514,66708
8,7,4,60,66999,724496,1869298,1427586,1229774,691583,66708
8,7,5,47,66999,731717,1714761,1427069,1233398,690240,66708
8,7,5,48,66999,733116,1728175,1426944,1233473,691615,66708
8,7,6,39,66999,739848,1621326,1425640,1232153,689926,66708
8,7,6,40,66999,741493,1634555,1428059,1225758,691547,66708
8,7,7,34,66999,749294,1564300,1427198,1238165,691034,66708
8,7,8,30,66999,755613,1517764,1427739,1225738,691579,66708
8,7,9,26,66999,762269,1469833,1425351,1236154,689942,66708
8,7,10,24,66987,772019,1448715,1428011,1234400,691547,66684
8,7,12,20,66999,788003,1402384,1428008,1226047,691559,66708
8,7,13,18,66999,794733,1377527,1425501,1228093,689882,66708
8,7,14,17,66999,803968,1367398,1428068,1225831,691050,66708
8,7,15,16,66999,812437,1356120,1426932,1229104,691547,66708
8,7,16,15,66999,820218,1344631,1427807,1234392,691559,66708
8,7,17,14,66999,827948,1332594,1426267,1237266,691054,66708
8,7,18,13,66999,834870,1320213,1427076,1233397,689926,66708
8,7,20,12,66999,852557,1310271,1428079,1234412,691591,66708
